INFO:sentence_transformers.SentenceTransformer:Load pretrained SentenceTransformer: BAAI/bge-large-zh-v1.5
INFO:sentence_transformers.SentenceTransformer:Use pytorch device: cuda
INFO:root:Training steps:20148, warmup steps:4029, steps per epoch:None
INFO:root:WARNING: ran out of memory,times: 267, batch size: 8
INFO:root:WARNING: ran out of memory,times: 268, batch size: 8
INFO:root:WARNING: ran out of memory,times: 269, batch size: 8
INFO:root:WARNING: ran out of memory,times: 270, batch size: 8
INFO:root:WARNING: ran out of memory,times: 271, batch size: 8
INFO:root:WARNING: ran out of memory,times: 272, batch size: 8
INFO:root:WARNING: ran out of memory,times: 273, batch size: 8
INFO:root:WARNING: ran out of memory,times: 274, batch size: 8
INFO:root:WARNING: ran out of memory,times: 275, batch size: 8
INFO:root:WARNING: ran out of memory,times: 276, batch size: 8
INFO:root:WARNING: ran out of memory,times: 277, batch size: 8
INFO:root:WARNING: ran out of memory,times: 278, batch size: 8
INFO:root:WARNING: ran out of memory,times: 279, batch size: 8
INFO:root:WARNING: ran out of memory,times: 280, batch size: 8
INFO:root:WARNING: ran out of memory,times: 281, batch size: 8
INFO:root:WARNING: ran out of memory,times: 282, batch size: 8
INFO:root:WARNING: ran out of memory,times: 283, batch size: 8
INFO:root:WARNING: ran out of memory,times: 284, batch size: 8
INFO:root:WARNING: ran out of memory,times: 285, batch size: 8
INFO:root:WARNING: ran out of memory,times: 286, batch size: 8
INFO:root:WARNING: ran out of memory,times: 287, batch size: 8
INFO:root:WARNING: ran out of memory,times: 288, batch size: 8
INFO:root:WARNING: ran out of memory,times: 289, batch size: 8
INFO:root:WARNING: ran out of memory,times: 290, batch size: 8
INFO:root:WARNING: ran out of memory,times: 291, batch size: 8
INFO:root:WARNING: ran out of memory,times: 292, batch size: 8
INFO:root:WARNING: ran out of memory,times: 293, batch size: 8
INFO:root:WARNING: ran out of memory,times: 294, batch size: 8
INFO:root:WARNING: ran out of memory,times: 295, batch size: 8
INFO:root:WARNING: ran out of memory,times: 296, batch size: 8
INFO:root:WARNING: ran out of memory,times: 297, batch size: 8
INFO:root:WARNING: ran out of memory,times: 298, batch size: 8
INFO:root:WARNING: ran out of memory,times: 299, batch size: 8
INFO:root:WARNING: ran out of memory,times: 300, batch size: 8
INFO:root:WARNING: ran out of memory,times: 301, batch size: 8
INFO:root:WARNING: ran out of memory,times: 302, batch size: 8
INFO:root:WARNING: ran out of memory,times: 303, batch size: 8
INFO:root:WARNING: ran out of memory,times: 304, batch size: 8
INFO:root:WARNING: ran out of memory,times: 305, batch size: 8
INFO:root:WARNING: ran out of memory,times: 306, batch size: 8
INFO:root:WARNING: ran out of memory,times: 307, batch size: 8
INFO:root:WARNING: ran out of memory,times: 308, batch size: 8
INFO:root:WARNING: ran out of memory,times: 309, batch size: 8
INFO:root:WARNING: ran out of memory,times: 310, batch size: 8
INFO:root:WARNING: ran out of memory,times: 311, batch size: 8
INFO:root:WARNING: ran out of memory,times: 312, batch size: 8
INFO:root:WARNING: ran out of memory,times: 313, batch size: 8
INFO:root:WARNING: ran out of memory,times: 314, batch size: 8
INFO:root:WARNING: ran out of memory,times: 315, batch size: 8
INFO:root:WARNING: ran out of memory,times: 316, batch size: 8
INFO:root:WARNING: ran out of memory,times: 317, batch size: 8
INFO:root:WARNING: ran out of memory,times: 318, batch size: 8
INFO:root:WARNING: ran out of memory,times: 319, batch size: 8
INFO:root:WARNING: ran out of memory,times: 320, batch size: 8
INFO:root:WARNING: ran out of memory,times: 321, batch size: 8
INFO:root:WARNING: ran out of memory,times: 322, batch size: 8
INFO:root:WARNING: ran out of memory,times: 323, batch size: 8
INFO:root:WARNING: ran out of memory,times: 324, batch size: 8
INFO:root:WARNING: ran out of memory,times: 325, batch size: 8
INFO:root:WARNING: ran out of memory,times: 326, batch size: 8
INFO:root:WARNING: ran out of memory,times: 327, batch size: 8
INFO:root:WARNING: ran out of memory,times: 328, batch size: 8
INFO:root:WARNING: ran out of memory,times: 329, batch size: 8
INFO:root:WARNING: ran out of memory,times: 330, batch size: 8
INFO:root:WARNING: ran out of memory,times: 331, batch size: 8
INFO:root:WARNING: ran out of memory,times: 332, batch size: 8
INFO:root:WARNING: ran out of memory,times: 333, batch size: 8
INFO:root:WARNING: ran out of memory,times: 334, batch size: 8
INFO:root:WARNING: ran out of memory,times: 335, batch size: 8
INFO:root:WARNING: ran out of memory,times: 336, batch size: 8
INFO:root:WARNING: ran out of memory,times: 337, batch size: 8
INFO:root:WARNING: ran out of memory,times: 338, batch size: 8
INFO:root:WARNING: ran out of memory,times: 339, batch size: 8
INFO:root:WARNING: ran out of memory,times: 340, batch size: 8
INFO:root:WARNING: ran out of memory,times: 341, batch size: 8
INFO:root:WARNING: ran out of memory,times: 342, batch size: 8
INFO:root:WARNING: ran out of memory,times: 343, batch size: 8
INFO:root:WARNING: ran out of memory,times: 344, batch size: 8
INFO:root:WARNING: ran out of memory,times: 345, batch size: 8
INFO:root:WARNING: ran out of memory,times: 346, batch size: 8
INFO:root:WARNING: ran out of memory,times: 347, batch size: 8
INFO:root:WARNING: ran out of memory,times: 348, batch size: 8
INFO:root:WARNING: ran out of memory,times: 349, batch size: 8
INFO:root:WARNING: ran out of memory,times: 350, batch size: 8
INFO:root:WARNING: ran out of memory,times: 351, batch size: 8
INFO:root:WARNING: ran out of memory,times: 352, batch size: 8
INFO:root:WARNING: ran out of memory,times: 353, batch size: 8
INFO:root:WARNING: ran out of memory,times: 354, batch size: 8
INFO:root:WARNING: ran out of memory,times: 355, batch size: 8
INFO:root:WARNING: ran out of memory,times: 356, batch size: 8
INFO:root:WARNING: ran out of memory,times: 357, batch size: 8
INFO:root:WARNING: ran out of memory,times: 358, batch size: 8
INFO:root:WARNING: ran out of memory,times: 359, batch size: 8
INFO:root:WARNING: ran out of memory,times: 360, batch size: 8
INFO:root:WARNING: ran out of memory,times: 361, batch size: 8
INFO:root:WARNING: ran out of memory,times: 362, batch size: 8
INFO:root:WARNING: ran out of memory,times: 363, batch size: 8
INFO:root:WARNING: ran out of memory,times: 364, batch size: 8
INFO:root:WARNING: ran out of memory,times: 365, batch size: 8
INFO:root:WARNING: ran out of memory,times: 366, batch size: 8
INFO:root:WARNING: ran out of memory,times: 367, batch size: 8
INFO:root:WARNING: ran out of memory,times: 368, batch size: 8
INFO:root:WARNING: ran out of memory,times: 369, batch size: 8
INFO:root:WARNING: ran out of memory,times: 370, batch size: 8
INFO:root:WARNING: ran out of memory,times: 371, batch size: 8
